step,time,k_before,k_after
786,7.86,-3138.15,-3138.15
787,7.87,-3332.01,-3332.01
788,7.88,-3524.84,-3524.84
789,7.89,-3716.06,-3716.06
790,7.9,-3905.09,-3905.08
791,7.91,-4091.36,-4091.36
792,7.92,-4274.31,-4274.31
793,7.93,-4453.4,-4453.4
794,7.94,-4628.09,-4628.09
795,7.95,-4797.85,-4797.84
796,7.96,-4962.16,-4962.16
797,7.97,-5120.55,-5120.55
798,7.98,-5272.53,-5272.52
799,7.99,-5417.63,-5417.63
800,8,-5555.43,-5555.43
801,8.01,-5685.5,-5685.49
802,8.02,-5807.44,-5807.44
803,8.03,-5920.88,-5920.88
804,8.04,-6025.47,-6025.47
805,8.05,-6120.88,-6120.88
806,8.06,-6206.82,-6206.81
807,8.07,-6283,-6283
808,8.08,-6349.18,-6349.18
809,8.09,-6405.14,-6405.14
810,8.1,-6450.69,-6450.69
811,8.11,-6485.67,-6485.67
812,8.12,-6509.93,-6509.93
813,8.13,-6523.38,-6523.38
814,8.14,-6525.94,-6525.94
815,8.15,-6517.56,-6517.56
816,8.16,-6498.22,-6498.22
817,8.17,-6467.95,-6467.94
818,8.18,-6426.77,-6426.77
819,8.19,-6374.76,-6374.76
820,8.2,-6312.03,-6312.03
821,8.21,-6238.7,-6238.7
822,8.22,-6154.93,-6154.92
823,8.23,-6060.9,-6060.9
824,8.24,-5956.83,-5956.83
825,8.25,-5842.95,-5842.95
826,8.26,-5719.54,-5719.54
827,8.27,-5586.89,-5586.88
828,8.28,-5445.29,-5445.29
829,8.29,-5295.11,-5295.11
830,8.3,-5136.69,-5136.69
831,8.31,-4970.42,-4970.42
832,8.32,-4796.7,-4796.7
833,8.33,-4615.95,-4615.95
834,8.34,-4428.62,-4428.62
835,8.35,-4235.15,-4235.15
836,8.36,-4036.03,-4036.03
837,8.37,-3831.73,-3831.73
838,8.38,-3622.76,-3622.76
839,8.39,-3409.63,-3409.63
840,8.4,-3192.86,-3192.86
841,8.41,-2972.98,-2972.97
842,8.42,-2750.52,-2750.52
843,8.43,-2526.03,-2526.03
844,8.44,-2300.06,-2300.06
845,8.45,-2073.15,-2073.15
846,8.46,-1845.86,-1845.86
847,8.47,-1618.74,-1618.74
848,8.48,-1392.34,-1392.34
849,8.49,-1167.21,-1167.21
850,8.5,-943.882,-943.882
851,8.51,-722.901,-722.901
852,8.52,-504.793,-504.794
853,8.53,-290.079,-290.08
854,8.54,-79.2689,-79.27
855,8.55,127.139,127.138
856,8.56,328.659,328.658
857,8.57,524.821,524.819
858,8.58,715.166,715.165
859,8.59,899.257,899.255
860,8.6,1076.67,1076.67
861,8.61,1247,1247
862,8.62,1409.87,1409.87
863,8.63,1564.92,1564.92
864,8.64,1711.8,1711.79
865,8.65,1850.19,1850.19
866,8.66,1979.8,1979.8
867,8.67,2100.36,2100.36
868,8.68,2211.62,2211.62
869,8.69,2313.37,2313.37
870,8.7,2405.41,2405.41
871,8.71,2487.56,2487.56
872,8.72,2559.7,2559.69
873,8.73,2621.69,2621.69
874,8.74,2673.47,2673.47
875,8.75,2714.96,2714.96
876,8.76,2746.14,2746.14
