Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
13.200            0.062970        3.607896
13.215            0.062444        3.577750
13.230            0.061905        3.546867
13.245            0.061353        3.515244
13.260            0.060788        3.482880
13.275            0.060210        3.449772
13.290            0.059619        3.415919
13.305            0.059015        3.381318
13.320            0.058398        3.345969
13.335            0.057768        3.309870
13.350            0.057125        3.273021
13.365            0.056469        3.235422
13.380            0.055799        3.197072
13.395            0.055117        3.157971
13.410            0.054421        3.118120
13.425            0.053713        3.077519
13.440            0.052991        3.036170
13.455            0.052256        2.994074
13.470            0.051509        2.951232
13.485            0.050748        2.907646
13.500            0.049974        2.863318
13.515            0.049188        2.818251
13.530            0.048388        2.772447
13.545            0.047576        2.725910
13.560            0.046751        2.678642
13.575            0.045913        2.630648
13.590            0.045063        2.581930
13.605            0.044200        2.532493
13.620            0.043325        2.482342
13.635            0.042437        2.431482
13.650            0.041537        2.379916
13.665            0.040625        2.327651
13.680            0.039701        2.274691
13.695            0.038765        2.221043
13.710            0.037816        2.166713
13.725            0.036856        2.111706
13.740            0.035884        2.056030
13.755            0.034901        1.999691
13.770            0.033906        1.942696
13.785            0.032900        1.885053
13.800            0.031883        1.826768
13.815            0.030855        1.767851
13.830            0.029816        1.708308
13.845            0.028766        1.648148
13.860            0.027705        1.587380
13.875            0.026634        1.526013
13.890            0.025553        1.464054
13.905            0.024461        1.401514
13.920            0.023360        1.338401
13.935            0.022248        1.274726
13.950            0.021127        1.210498
13.965            0.019997        1.145728
13.980            0.018857        1.080424
13.995            0.017708        1.014599
14.010            0.016550        0.948261
14.025            0.015384        0.881424
14.040            0.014209        0.814096
14.055            0.013025        0.746290
14.070            0.011834        0.678016
14.085            0.010634        0.609287
14.100            0.009427        0.540113
