Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
21.54               0.0985          5.6435
21.57               0.0975          5.5841
21.60               0.0964          5.5242
21.63               0.0954          5.4638
21.66               0.0943          5.4029
21.69               0.0932          5.3415
21.72               0.0921          5.2796
21.75               0.0911          5.2172
21.78               0.0900          5.1544
21.81               0.0889          5.0911
21.84               0.0877          5.0273
21.87               0.0866          4.9631
21.90               0.0855          4.8984
21.93               0.0844          4.8333
21.96               0.0832          4.7678
21.99               0.0821          4.7018
22.02               0.0809          4.6355
22.05               0.0797          4.5687
22.08               0.0786          4.5015
22.11               0.0774          4.4339
22.14               0.0762          4.3659
22.17               0.0750          4.2975
22.20               0.0738          4.2287
22.23               0.0726          4.1596
22.26               0.0714          4.0901
22.29               0.0702          4.0202
22.32               0.0689          3.9500
22.35               0.0677          3.8795
22.38               0.0665          3.8086
22.41               0.0652          3.7373
22.44               0.0640          3.6658
22.47               0.0627          3.5939
22.50               0.0615          3.5217
22.53               0.0602          3.4492
22.56               0.0589          3.3764
22.59               0.0577          3.3033
22.62               0.0564          3.2299
22.65               0.0551          3.1563
22.68               0.0538          3.0824
22.71               0.0525          3.0082
22.74               0.0512          2.9338
22.77               0.0499          2.8591
22.80               0.0486          2.7842
22.83               0.0473          2.7090
22.86               0.0460          2.6336
22.89               0.0446          2.5580
22.92               0.0433          2.4822
22.95               0.0420          2.4062
22.98               0.0407          2.3300
23.01               0.0393          2.2536
23.04               0.0380          2.1770
23.07               0.0367          2.1002
23.10               0.0353          2.0232
23.13               0.0340          1.9461
23.16               0.0326          1.8689
23.19               0.0313          1.7915
23.22               0.0299          1.7139
23.25               0.0286          1.6363
23.28               0.0272          1.5585
23.31               0.0258          1.4806
23.34               0.0245          1.4025
23.37               0.0231          1.3244
23.40               0.0217          1.2462
23.43               0.0204          1.1679
23.46               0.0190          1.0895
23.49               0.0176          1.0110
23.52               0.0163          0.9325
23.55               0.0149          0.8539
23.58               0.0135          0.7752
23.61               0.0122          0.6966
23.64               0.0108          0.6178
23.67               0.0094          0.5391
23.70               0.0080          0.4603
23.73               0.0067          0.3815
23.76               0.0053          0.3027
23.79               0.0039          0.2239
23.82               0.0025          0.1451
23.85               0.0012          0.0664
